nama_destinasi,username,komentar,rating,tanggal
Ramayana Ballet Prambanan,AR,mantapp dan kerenn seru bgt,"5,0
/5",24 Jul 2024
Ramayana Ballet Prambanan,MM,Tempatnya bagus dan bersih,"5,0
/5",24 Jul 2024
Ramayana Ballet Prambanan,AK,Amazing🔥 Pertunjukan yang sangat luar biasa 🔥,"5,0
/5",20 Jul 2024
Ramayana Ballet Prambanan,AMALIA RIANTIKA,Seru banget cuma memang kalo posisi belakang berasa goyang2 but aman 😍 pingin lagi,"5,0
/5",14 Jul 2024
Ramayana Ballet Prambanan,PA,View dan pelayanan bagus,"5,0
/5",12 Jul 2024
Ramayana Ballet Prambanan,FS,Very recommended! And it's all worth it! Love it...,"5,0
/5",12 Jul 2024
Ramayana Ballet Prambanan,santi juli,"Bagus banget, top banget, view yang luar biasa, g kecewa jauh2 datang ke prambana.","5,0
/5",11 Jul 2024
Ramayana Ballet Prambanan,Tirza Clara Gitawardhany,Sebenernya batal pergi but i know for sure pertunjukannya keren. Semoga next time bisa nonton langsung,"5,0
/5",10 Jul 2024
Ramayana Ballet Prambanan,NM,Kereeeeenn keren keren keren bangetttttt,"5,0
/5",6 Jul 2024
Ramayana Ballet Prambanan,KR,Worth it to watch and valuable. We learn and enjoy at the same time,"5,0
/5",3 Jul 2024
Ramayana Ballet Prambanan,GZ,Keren dan bagus banget!!,"5,0
/5",2 Jul 2024
Ramayana Ballet Prambanan,tennya sri arifin,Wajib Nonton sih kalau ke Jogja seru sekali ✨✨,"5,0
/5",1 Jul 2024
Ramayana Ballet Prambanan,FC,sekali dalam seumur hidup harus nonton ini ga bakal nyesel karena sangat indah,"5,0
/5",26 Jun 2024
Ramayana Ballet Prambanan,Aditia Saputra,"Kalo ke Jogja emang harus nonton ini sih, keren parah","5,0
/5",26 Jun 2024
Ramayana Ballet Prambanan,Mhd Reza Irjaldi Hasibuan,"Theater drama tentang kebudayaan, sangat bagus","5,0
/5",24 Jun 2024
Ramayana Ballet Prambanan,Novita Purwoningtyas,Worth every penny!!!!!!!!!!!!!!!!!!!!!!!!,"5,0
/5",24 Jun 2024
Ramayana Ballet Prambanan,Novita Purwoningtyas,Worth every penny!!!! Dont think twice lah to buy this ticket,"5,0
/5",24 Jun 2024
Ramayana Ballet Prambanan,Ferdi Ferdi,"Bagus, layak untuk dicoba ketika berkunjung ke jogja.","5,0
/5",24 Jun 2024
Ramayana Ballet Prambanan,ER,Worth it..even my kids 10 yo and 3 yo very interested with this performance..Amazing,"5,0
/5",22 Jun 2024
Ramayana Ballet Prambanan,RR,"Seruuu bangett,pokonya kalau ke jogja wajib sih nonton sendratari ramayan,ceritanya seru viewnya cuantik polll","5,0
/5",20 Jun 2024
Ramayana Ballet Prambanan,MR,Bagus banget dan viewnya sangat teramat cantik,"5,0
/5",17 Jun 2024
Ramayana Ballet Prambanan,Ardian Hafidz Annafi,Ok bgt sih sayang kurang lama,"5,0
/5",16 Jun 2024
Ramayana Ballet Prambanan,Agung Agung,Ok ok ok ok ok ok ok ok ok,"5,0
/5",13 Jun 2024
Ramayana Ballet Prambanan,Ade Siti Nurrohmah,"Seneng banget liat nya, semoga bisa kembali lagi dengan orang yg sama❣️","5,0
/5",9 Jun 2024
Ramayana Ballet Prambanan,Ade Wahyudi,Bagus banget acara nya keren,"5,0
/5",7 Jun 2024
Ramayana Ballet Prambanan,Yohana Yohana,"Seatnya oke, semua orang kedapetan viewnya. Performancenya keren bangettt 💖💖💖","5,0
/5",7 Jun 2024
Ramayana Ballet Prambanan,PP,"Keren banget, worth it, ga antri, langsung masuk Yg 300rb dapet free minuman, bebas pilih apa aja Hospitalitynya juga bagus banget","5,0
/5",3 Jun 2024
Ramayana Ballet Prambanan,AN,Pertunjukannya sangat bagus,"5,0
/5",2 Jun 2024
Ramayana Ballet Prambanan,NR,"good vibes, good view, good performance. syg dtg nya aga t**** dikit huhu..","5,0
/5",1 Jun 2024
Ramayana Ballet Prambanan,Diah Winanti,Pergi nonton bareng² sama teman pilih tiket khusus dpt free minuman. Pertunjukan sangat bagus. 👍👍👍,"5,0
/5",29 May 2024
Ramayana Ballet Prambanan,RH,Ketika ke jogja wajib banget berkunjung ke sini cerita dan tarianya menarik banget,"5,0
/5",27 May 2024
Ramayana Ballet Prambanan,Nadia Rifka,Magical show amazing🥹,"5,0
/5",25 May 2024
Ramayana Ballet Prambanan,Vina Puspitasari,Menyenangkan so magical,"5,0
/5",24 May 2024
Ramayana Ballet Prambanan,Yuniar Cahyaningtias,Bagus banget gak nyesel deh nonton dengan harga tiket lumayan,"5,0
/5",21 May 2024
Ramayana Ballet Prambanan,muhamad rizqi ramadhana,"Sangat ramah, pertunukan yang luar biasa","5,0
/5",18 May 2024
Ramayana Ballet Prambanan,AR,Kereenn bangettttt pengen bangett kesinii lagii,"5,0
/5",18 May 2024
