nama_destinasi,username,komentar,rating,tanggal
Tiket Masuk Candi Prambanan,Asep Suherman,Mantap Pokoke Maseeeehhhh....,"5,0
/5",10 May 2023
Tiket Masuk Candi Prambanan,Apries Dwi Hardianti,Mudah dan cepat ga repot antri lagi,"5,0
/5",10 May 2023
Tiket Masuk Candi Prambanan,FM,Bagus tempatnya good!,"5,0
/5",10 May 2023
Tiket Masuk Candi Prambanan,Intan Tirta Amalia,Alhamdulillah dapat tiket promo dari tiket.com,"5,0
/5",10 May 2023
Tiket Masuk Candi Prambanan,Desi Maryani Tri Utami,Good. Pengalaman yg gak akan terlupakan.,"5,0
/5",9 May 2023
Tiket Masuk Candi Prambanan,Eri Hn,Sangat mempermudah dan tidak perlu antri,"5,0
/5",9 May 2023
Tiket Masuk Candi Prambanan,AP,prambanan seruuuu bangeeet,"5,0
/5",9 May 2023
Tiket Masuk Candi Prambanan,AP,"meskipun panas tetep seru banget, aku dateng bareng keluarga dan waktu itu pas puasa jadi sepi fotonya jadi bagus semua kita dari solo naik krl turunnya di stasiun brambanan, terus lanjut naik mobil k...","5,0
/5",9 May 2023
Tiket Masuk Candi Prambanan,putu suryawan Suryawan,"Bagus, mempermudah pembelian","5,0
/5",9 May 2023
Tiket Masuk Candi Prambanan,Abrar Abqari Amran,Mantaooll kali ahh bos,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,GS,Nice place to visit with your loved ones,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,Ines Suhada,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,Denny Ramdani Sugiharto,Good and awesome experience👌,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,wina hartati,Prises pembelian cepat dan dpt diskon pula,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,Abdul Rojak,Santai tenang dan hapy,"5,0
/5",8 May 2023
Tiket Masuk Candi Prambanan,TS,Praktis dan lebih murah ( top markotop),"5,0
/5",7 May 2023
Tiket Masuk Candi Prambanan,Ezra Hariani Marbun,"Tempat bersejarah yang harus di jaga, pemandangannya bgs bgt.","5,0
/5",7 May 2023
Tiket Masuk Candi Prambanan,Danny Martin Pradana,Puassssss trip bareng tiket.com,"5,0
/5",7 May 2023
Tiket Masuk Candi Prambanan,VS,Wonderful experience ❤️,"5,0
/5",7 May 2023
Tiket Masuk Candi Prambanan,DN,Mantapppppppppp bangetttt,"5,0
/5",6 May 2023
Tiket Masuk Candi Prambanan,Shintya Syamara,"Lumayan ada potongan, murah beli online gak perlu antri","5,0
/5",5 May 2023
Tiket Masuk Candi Prambanan,ziyan syafianida,Bagus tempatnya walaupun panas bgt 😀,"5,0
/5",4 May 2023
Tiket Masuk Candi Prambanan,Donna Rumahorbo,"Sangat membantu, nyampe di customer service diarahin utk cetak tiket, nunggu 2 menit, lgsg scan lgsg bisa masuk menikmati prambanan... Sangat memudahkan, thanks tiket.com🥰🥰🥰","5,0
/5",4 May 2023
Tiket Masuk Candi Prambanan,Lusi teresia,"Oke banget, bisa masuk smpe kedalam dalam. Sesuai","5,0
/5",4 May 2023
Tiket Masuk Candi Prambanan,MM,Bagus..mau lagi kapan2 kemari..oleh2 nya murah meriah,"5,0
/5",4 May 2023
Tiket Masuk Candi Prambanan,Wisnu Pramusinto,"Kebetulan pas dateng ke sana penuh banget, jd dpt parkir di dlm dan langsung masuk ke candinya","5,0
/5",4 May 2023
Tiket Masuk Candi Prambanan,Nurafni Khoiriyah,"Bagusss,indahh.. cuma klo ke sini harus sore/pagi2 biar adem.","5,0
/5",3 May 2023
Tiket Masuk Candi Prambanan,Agung Syahputra,Super good experience,"5,0
/5",3 May 2023
Tiket Masuk Candi Prambanan,wahyuning tias,Next bakalan kesini lagi kalo ke Jogja,"5,0
/5",3 May 2023
Tiket Masuk Candi Prambanan,ZY,"Pelayanan bagus, staf informatif","5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,abdul muis iksan,mantap dan seru sekali,"5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,AR,Manteeeeeeeeeeeeeeeeeeb,"5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,Fortunata Saesarria Deisberanda,"Keren, wajib kesini sih","5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,Martin Suanda,Terlalu mahal tiket masuk ke atas,"5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,Novika Rahayu Ningtyas,"Beli tiket via aplikasi tiket.com sangat memudahkan akses kita sebagai pengunjung!. Ga perlu antre di loket, apalagi kalau kunjungannya di hari libur dan membawa anak seperti saya. Tinggal datang dan ...","5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,Hayati za,Kebersihan kurang di jaga,"5,0
/5",2 May 2023
Tiket Masuk Candi Prambanan,WB,"Proses cepat, begitu sampai tempat tidak perlu lagi mengantri untuk beli tiket","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,Nur Mei,"Sangat membantu order tiket disini. Candi Prambanan salah satu destinasi yg harus dikunjungi kalo ke jogja, great view & history.","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,MS,"Good pokoknya mantap,pemesanan lewat online lebih. Mudah dan cepat","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,VH,Sangat membantu diskon di tiket.com krn lebih murah,"5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,desi kristianingsih,"Ga ribet, cepat, teratur","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,FH,Mantappppppp oke doki.,"5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,Winda Ayuning Tyas,Bagus dan keren tempatnya. Tiket masuknya juga terjangkau. Fasilitas umum seperti toiletnya juga mudah dijangkau,"5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,yudiana gustira,Mantaf aman nyanan tentram,"5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,SA,"Akhirnya sampai juga ke prambanan, cantik dan adem banget","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,Noor Ambia,"Hotel Grand Rohan Jogja the best hotel yg pernah kami kunjungi, baik dari segi makanan, pelayanan dan fasilitasnya. Fasilitas untuk beribadah sangat di utamakan karena sudah berbasis syariah hotel. Re...","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,Herman Suherman,"Sejuk ,bagus, nymn cocok buat liburan sama keluarga","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,AH,"Dibeberapa tahun sebelumnya, candi ini masih ada beberapa tempat yang bisa diakses secara free.. Namun sekarang sudah berbayar","5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,EN,Sangat memuaskan dan menyenangkan,"5,0
/5",1 May 2023
Tiket Masuk Candi Prambanan,DL,Perjalanan menyenangkan,"5,0
/5",30 Apr 2023
Tiket Masuk Candi Prambanan,RF,No antri2 club mantap,"5,0
/5",30 Apr 2023
Tiket Masuk Candi Prambanan,Heni Nur Luthfiyani,Kereen bagus pokoknyaaa terbaiks,"5,0
/5",30 Apr 2023
Tiket Masuk Candi Prambanan,AA,"Bersih banget, area luas sekali","5,0
/5",30 Apr 2023
Tiket Masuk Candi Prambanan,DE,Wooww kereeeeeeeeennn,"5,0
/5",30 Apr 2023
Tiket Masuk Candi Prambanan,Effendi Abdurachman,Mantap lebih dekat mengenal peninggalan sejarah sama keluarga,"5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,Mohamad Fadli,Keren bangetttt pokonya,"5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,Noni Lianati,baikk syekali pelayanannya,"5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,Herlina Anggi,Seru bgt pokonya nambah pengalaman,"5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,IW,"Happy banget pas masuk candi sepi gak crowds gitu. Tetep banyak turis tapi dapet bgt feel ketenangan nya suka banget huhu Anw , kalo masuk sini mesti spare banyak2 uang cash karena disini apa apa haru...","5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,Suci budiarsih,Bagusss tp ada beberapa candi yang roboh karna gempa,"5,0
/5",29 Apr 2023
Tiket Masuk Candi Prambanan,Andre Tandapai,nice tempatnya bersih,"5,0
/5",28 Apr 2023
Tiket Masuk Candi Prambanan,Mohamad Imron Ghozalie,Mudah sekali dalam pembelian tiket,"5,0
/5",28 Apr 2023
Tiket Masuk Candi Prambanan,rabbil haqqi,Tempatnya bagus banget,"5,0
/5",28 Apr 2023
Tiket Masuk Candi Prambanan,Lukman Afandi,Bagus. Menarik.............,"5,0
/5",28 Apr 2023
Tiket Masuk Candi Prambanan,Adinda Kusumawardhani,"Menyenangkan sekali! Bayar tiket dengan tiket points dan gratis. Sampai sana parkir mobil luas, cetak tiket juga tanpa antre langsung diarahkan petugas. Suasana ramai tapi tertib, sekarang bisa sewa s...","5,0
/5",28 Apr 2023
Tiket Masuk Candi Prambanan,DN,Seruwwwwwwwwwwwwwww bwangeeetttttttt,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,Theresya Pamela Monika,"bagus. waktu dulu tidak boleh masuk ke area dalam, tapi kali ini diperbolehkan oleh penjaganya sampai bisa foto dtg stupa roro Jonggrang dan stupa lainnya","5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,Khairunnisa Faisal,aaamaaaazzziiinngggg🫰🏻🫶🏻🫶🏻,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,DB,Baguss dan indahhh murah² oleh²nya,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,Affandi Asrul Muis,Keren bgt candi prambanan pesan sekarang juga di tiket.com sekarang,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,Ponirin Nainggolan,Menakjubkan sekali semua candi di jateng,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,HN,Good......nice....gak pakai ngantri,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,HN,Fast respons....gak perlu ngantri,"5,0
/5",27 Apr 2023
Tiket Masuk Candi Prambanan,Bobby Irawan,Wisata edukasi banget,"5,0
/5",26 Apr 2023
Tiket Masuk Candi Prambanan,Feny Feny,Oke. Penukqrqn cepatsss,"5,0
/5",26 Apr 2023
Tiket Masuk Candi Prambanan,Dippos Sitohang,"Benar-benar pengalaman yang luar biasa, terus gampang juga untuk membeli tiketnya, apalagi ini pengalaman saya untuk pertama kali ke candi prambanan","5,0
/5",26 Apr 2023
Tiket Masuk Candi Prambanan,Rawiza Hayyinagn,Seruu. Siapkan topi dan kacamata karna sangat puanassss,"5,0
/5",26 Apr 2023
Tiket Masuk Candi Prambanan,DN,"Bagus banget, semua staf ramah dan helpful","5,0
/5",26 Apr 2023
Tiket Masuk Candi Prambanan,Johan Satria,Mudah banget beli pake tiket.com,"5,0
/5",25 Apr 2023
Tiket Masuk Candi Prambanan,RP,"Proses cepat tidak antri,harga lebih murah karena dapat promo dari tiket.com","5,0
/5",25 Apr 2023
Tiket Masuk Candi Prambanan,Teuku Irawan Satria,"Cepat serta murah, flexible juga.","5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,CB,"Kerennn Banget, Ga sia-sia panasss”, pemandangannya ga sia’in effort ku","5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,AA,Pokoknya enak klo pagi dateng masih sepi,"5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,Aprilian Widyas Nur Akbar,"Bagus dan menyenangkan, dateng waktu pagi jadi sejuk seger dan petugasnya masih fresh","5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,TN,"Semakin keren prambanan, dipermudah dengan beli tiketnya disini. Thank you tiket.com","5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,Annisa Perenensi Br Bangun,Rekomendasi baget . tempat iya bagus dan sagat bersejarah .,"5,0
/5",24 Apr 2023
Tiket Masuk Candi Prambanan,Imelda S Sianturi,Im happy. Tengkyu ya prambanan,"5,0
/5",23 Apr 2023
Tiket Masuk Candi Prambanan,Annisa Putri,"Bagus ini candi, mana staffnya friendly.","5,0
/5",22 Apr 2023
Tiket Masuk Candi Prambanan,AA,"Keren, tour guide nya sangat informatif","5,0
/5",21 Apr 2023
Tiket Masuk Candi Prambanan,Hudhan Mufazhal,Sangat cepat dan ada diskon lagii...,"5,0
/5",20 Apr 2023
Tiket Masuk Candi Prambanan,MM,"Tempat yang sangat bagus dikunjungi, cuaca cerah dengan langit biru menambah keindahan candi","5,0
/5",18 Apr 2023
Tiket Masuk Candi Prambanan,Febie Tamanita,bagus.. peninggalan sejarah.. nahh yang candi sewu itu katanya sii di rakit ulang gtu.. kereennn..,"5,0
/5",16 Apr 2023
Tiket Masuk Candi Prambanan,AC,Tjaaaakeeeeeppppppppppppp,"5,0
/5",12 Apr 2023
Tiket Masuk Candi Prambanan,Chao Tzu Kang,cuma bantuin beliin atasan doang. tapi dari cerita beliau sih dia sangat suka denhan wisata yg ada di indonesia.,"5,0
/5",11 Apr 2023
Tiket Masuk Candi Prambanan,Cepy Agusty,Like banget tempat nya,"5,0
/5",9 Apr 2023
Tiket Masuk Candi Prambanan,AM,"Bagus banget, petugasnya ramah dan lingkungan candi bersih","5,0
/5",9 Apr 2023
Tiket Masuk Candi Prambanan,Lam Koko,"Datang pada saat bulan puasa, ternyata lagi low season. Enak deh. Gak banyak pengunjung lain.","5,0
/5",7 Apr 2023
Tiket Masuk Candi Prambanan,TRI OCTAVIA AGUSTINA,"suka, lebih murah dari normal","5,0
/5",7 Apr 2023
Tiket Masuk Candi Prambanan,Triwahyu Ramadhani,"Lingkungannya bersih, aman, dan nyaman. Pelayanannya juga ramah dan sopan. Turis-turis yang lain (baik lokal maupun asing) saling menghargai, saat mau foto di spot tertentu kita juga saling mempersila...","5,0
/5",5 Apr 2023
Tiket Masuk Candi Prambanan,Naila Inas,Keren banget pengen kesana lagi,"5,0
/5",4 Apr 2023
Tiket Masuk Candi Prambanan,Maulana Rizky,Bagus sekali dan keren,"5,0
/5",4 Apr 2023
Tiket Masuk Candi Prambanan,Nurussyifa Afiana Z,"Pesan tiket di tiket.com jadi lebih praktis tanpa perlu antre ots, thank you!","5,0
/5",3 Apr 2023
Tiket Masuk Candi Prambanan,Andre Atmaja,"Great view, love it..","5,0
/5",3 Apr 2023
Tiket Masuk Candi Prambanan,Mus Riadi,"Keren, lebih mudah transaksi tanpa perlu ngantri","5,0
/5",2 Apr 2023
Tiket Masuk Candi Prambanan,FEBRINA M,Mantappp bengetgggggg,"5,0
/5",31 Mar 2023
Tiket Masuk Candi Prambanan,Muthmainna Dayanti Jufri,Sangat mudah beli tiket menggunakan aplikasi,"5,0
/5",30 Mar 2023
Tiket Masuk Candi Prambanan,Muthmainna Dayanti Jufri,Mudah dan tdk perlu antri,"5,0
/5",29 Mar 2023
Tiket Masuk Candi Prambanan,Fina fenita,Tempat yang bagus dan indah,"5,0
/5",29 Mar 2023
Tiket Masuk Candi Prambanan,Sri wulansari,Menenangkan love bgt pokonya,"5,0
/5",27 Mar 2023
Tiket Masuk Candi Prambanan,yatina Eng,rapi bersih dan sopan org org di sana,"5,0
/5",27 Mar 2023
Tiket Masuk Candi Prambanan,Dyah Eka Muji Utari,enak banget ke prambanan pagi pagi masih belom panas,"5,0
/5",26 Mar 2023
Tiket Masuk Candi Prambanan,PM,"keren, ga harus antri panjang panjang","5,0
/5",26 Mar 2023
Tiket Masuk Candi Prambanan,Erni Christina Samosir,kalau mau kesini jangan lupa bawa payung klu siang hari ya gaess.,"5,0
/5",26 Mar 2023
Tiket Masuk Candi Prambanan,Alexander Hery Suhanto,Ok...................,"5,0
/5",25 Mar 2023
Tiket Masuk Candi Prambanan,DY,Lumayan terpotong 2000,"5,0
/5",25 Mar 2023
Tiket Masuk Candi Prambanan,Fahmi Ali,Seneng bgt gak perlu ngantri,"5,0
/5",25 Mar 2023
Tiket Masuk Candi Prambanan,Ibnu Ramadhan,Mudah pemesanan tiket dari tiket. Com gaperlu antri tinggal masuk,"5,0
/5",24 Mar 2023
Tiket Masuk Candi Prambanan,Wildan Anggun,Kawasan candi bagus bersih banyak kursi utk duduk2 jadi ga capek walaupun jalan jauh panas2 krn banyak pohon besar juga 👍,"5,0
/5",24 Mar 2023
Tiket Masuk Candi Prambanan,NICOLA VALENTINO TOBING,mantap sman myaman proses masuk cepat,"5,0
/5",23 Mar 2023
Tiket Masuk Candi Prambanan,Diana Ros,"Good place, dpt potongan harga sedikitlah dr PD di merchan online sebelah.","5,0
/5",22 Mar 2023
Tiket Masuk Candi Prambanan,Sufandri Liman,"Oke, jadi lebih murah dengan tiket online","5,0
/5",22 Mar 2023
Tiket Masuk Candi Prambanan,Sufandri Liman,"Oke, jadi lebih murah dengan tiket online","5,0
/5",22 Mar 2023
Tiket Masuk Candi Prambanan,Tubagus Muhamar,Cepaat sat set sat set,"5,0
/5",19 Mar 2023
Tiket Masuk Candi Prambanan,Retno Susanti,"Gampang banget pesennya dan gak perlu ngantri di loket, harganya juga lebih murah dari pada di loket loh. Buruan pesen di tiket.com","5,0
/5",19 Mar 2023
Tiket Masuk Candi Prambanan,TM,"Selalu seneng dengan viewnya, ambience-nya, mendengarkan cerita dibaliknya","5,0
/5",17 Mar 2023
Tiket Masuk Candi Prambanan,TM,Try the buggy trip for additional 200k 😍,"5,0
/5",17 Mar 2023
Tiket Masuk Candi Prambanan,Devi Natalia,"Terakhir kali berkunjung kesini sewaktu saya masih SD & ketika kembali sungguh tidak sangka, sekarang bagus sekali & tertata rapi.. Benar² mengikuti standart kualitas wisata internasional.. BRAVO INDO...","5,0
/5",15 Mar 2023
Tiket Masuk Candi Prambanan,Risca Azhari,Mantaaaaaaaaaaaaappppp,"5,0
/5",14 Mar 2023
Tiket Masuk Candi Prambanan,Indah Permata Sari,Wisata menyenangkan ☺️☺️,"5,0
/5",14 Mar 2023
Tiket Masuk Candi Prambanan,Renata Laras Syati,Sangat menakjubkan dan membuat terpanah,"5,0
/5",12 Mar 2023
Tiket Masuk Candi Prambanan,Mela Yunita,Good place sungguh ada,"5,0
/5",12 Mar 2023
Tiket Masuk Candi Prambanan,RN,Bagus....suka Mempermudah kita traveling Terima kasih tiket.com,"5,0
/5",12 Mar 2023
Tiket Masuk Candi Prambanan,AM,"Proses tiket cepat, harga lebih murah dari on the spot","5,0
/5",12 Mar 2023
Tiket Masuk Candi Prambanan,Martina Leni,"Keluarga happy, kwkkejdidididikdkdsiodos","5,0
/5",11 Mar 2023
Tiket Masuk Candi Prambanan,Nazela AQ Nasution,Bagus murah dan ada diskonnya,"5,0
/5",11 Mar 2023
Tiket Masuk Candi Prambanan,Nazela AQ Nasution,Bagus dan murah ada diskonnya,"5,0
/5",11 Mar 2023
Tiket Masuk Candi Prambanan,Kholif Hidayatullah,Keren dan lebihmurah pake apk,"5,0
/5",11 Mar 2023
Tiket Masuk Candi Prambanan,Gita Rimba Angelina,Terkelola dengan rapih.,"5,0
/5",10 Mar 2023
Tiket Masuk Candi Prambanan,Mario Fadhil Tamada Putra,Yy6yyyyyyyyyyyyyyyyyyyyyyyyyyyy,"5,0
/5",9 Mar 2023
Tiket Masuk Candi Prambanan,RR,Cepat dan praktis jadi ga perlu antri di loket,"5,0
/5",8 Mar 2023
Tiket Masuk Candi Prambanan,Linda Patricia,Keren.setelah dari Prambanan jalan kaki ke candi lumbung .bubrah.dan candi Sewu yang merupakan candi agama budha.mungkin dipintu masuk pas scan tiket.penjaga bisa menginformasikan ke pengunjung untuk ...,"5,0
/5",6 Mar 2023
Tiket Masuk Candi Prambanan,Zahra Septia,Baguss banget tempatnya bersih,"5,0
/5",5 Mar 2023
Tiket Masuk Candi Prambanan,ZA,"The entry ticket is cheaper than you have to buy on the spot. Also, you don't need to line so long if you have reserved online.","5,0
/5",28 Feb 2023
Tiket Masuk Candi Prambanan,Kafrawi Aby,"bagus, bagus, bagus, bagus","5,0
/5",28 Feb 2023
Tiket Masuk Candi Prambanan,Mardiyah Utami,Good good gooooodddddd,"5,0
/5",28 Feb 2023
Tiket Masuk Candi Prambanan,Ratno Dwi Sutomo,"Kali ke 5 nya beli tiket prambann dari sini, semuanya serba express","5,0
/5",27 Feb 2023
Tiket Masuk Candi Prambanan,Arfandi Fajri,Bagusss dan bikin lebih mudah untuk reservasi,"5,0
/5",27 Feb 2023
Tiket Masuk Candi Prambanan,BP,Sangat memuaskan dan akan kembali lagi,"5,0
/5",27 Feb 2023
Tiket Masuk Candi Prambanan,Dita Mutiara,Mudah sekali tidak perlu antri langsung scan saja sudah bisa langsung di print tiketnya,"5,0
/5",27 Feb 2023
Tiket Masuk Candi Prambanan,Amalia Putri,Bagus banget tapi lumayan panas pas di candi nya,"5,0
/5",26 Feb 2023
Tiket Masuk Candi Prambanan,SS,Tidak perlu antri tiket di loket. Tinggal scan saja di dekat pintu masuk. Ada potongan harga pula. Keren.,"5,0
/5",25 Feb 2023
Tiket Masuk Candi Prambanan,Nur Rhomahniyawati,"Mantap bersih rapi,,, sayangnya hanya 1 yg di buka boleh masuk","5,0
/5",25 Feb 2023
Tiket Masuk Candi Prambanan,AR,"Secara keseluruhan sangat mudah untuk menuju ke Prambanan, dengan tiket dewasa Rp. 50rb dan anak-anak Rp. 25rb banyak pengalaman dan pembelajaran yang bisa kita petik untuk kita dan anak-anak. Terima ...","5,0
/5",24 Feb 2023
Tiket Masuk Candi Prambanan,mariza oktaviani,Penukaran cepat tidak ngantri thanks tiket. Com,"5,0
/5",22 Feb 2023
Tiket Masuk Candi Prambanan,FF,Mantaaaaaaaaaaaaaaaaap,"5,0
/5",22 Feb 2023
Tiket Masuk Candi Prambanan,Febriana Wahyu Wulandasuci,Bagus buat pemesanan tiket yang tanpa antri,"5,0
/5",21 Feb 2023
Tiket Masuk Candi Prambanan,Febriana Wahyu Wulandasuci,"Bagus.cepat, lebih mudah dan banyak promo","5,0
/5",21 Feb 2023
Tiket Masuk Candi Prambanan,Ferdiany Ferdiany,Terbantu bgt beli tiket prambanan melalui tiket.com..Kt penjaga loket cm selisih 2tlrb dgn beli tiket lsg diloket..tp ternyata selisihnya lumayan ngt..sbg info pembelian tiket lsg 40rb yaa,"5,0
/5",20 Feb 2023
Tiket Masuk Candi Prambanan,SA,Lebih murah daripada beli ditempat,"5,0
/5",20 Feb 2023
Tiket Masuk Candi Prambanan,Anton permana,"Praktis, mantap buat liburan keluarga","5,0
/5",20 Feb 2023
Tiket Masuk Candi Prambanan,EP,"Panas, kudu bwa payung","5,0
/5",20 Feb 2023
Tiket Masuk Candi Prambanan,PM,"Tempat bersih, outdoor, rindang","5,0
/5",19 Feb 2023
Tiket Masuk Candi Prambanan,fansusanto fansusanto,"Lebih cepat, tidak perlu antri lagi","5,0
/5",19 Feb 2023
Tiket Masuk Candi Prambanan,Suci Desmayanti,Thankyou tiket.com pas pesan lagi ada promo 👍🏻👍🏻,"5,0
/5",19 Feb 2023
Tiket Masuk Candi Prambanan,JA,"y'll can study about history in this place, I was amazed when I saw it for the first time cuz the temple is very beautiful. I didn't expect that such a magnificent temple was made by humans.","5,0
/5",18 Feb 2023
Tiket Masuk Candi Prambanan,AF,Penukaran tiket mudah,"5,0
/5",17 Feb 2023
Tiket Masuk Candi Prambanan,Yusuf Abdul aziz,Mantap lah pknya lain kali kesini lagi,"5,0
/5",16 Feb 2023
Tiket Masuk Candi Prambanan,RV,mantap bagus keren dan joss,"5,0
/5",16 Feb 2023
Tiket Masuk Candi Prambanan,Herlina Hidayati,Keren. . Sangat terawat.. Hrga ticket jg music ramah d kantong.. Utk yg ingin believe souvenirs just murah start 1000 saja,"5,0
/5",16 Feb 2023
Tiket Masuk Candi Prambanan,Albert Albert,"keren sihh, gampang dan cepat kalo lewat tiket.com","5,0
/5",15 Feb 2023
Tiket Masuk Candi Prambanan,NN,"Mantap, tapi cape banget..wkwkwkwk","5,0
/5",14 Feb 2023
Tiket Masuk Candi Prambanan,Fika Mutiara Sari,Tiket murah.. tempat ok,"5,0
/5",14 Feb 2023
Tiket Masuk Candi Prambanan,AR,"Seru, semuanya masih terawat dan bersih. Sangat disayangkan loket yg buka hanya 2 saat pengunjung membludak","5,0
/5",14 Feb 2023
Tiket Masuk Candi Prambanan,Nia Siti Sunariah,Fantastic. Very well maintained.,"5,0
/5",14 Feb 2023
Tiket Masuk Candi Prambanan,Nia Siti Sunariah,"So beautiful temple, well maintained, friendly staff.","5,0
/5",14 Feb 2023
Tiket Masuk Candi Prambanan,SS,Cocok buat liburan keluarga dan edukasi sejarah ke anak,"5,0
/5",13 Feb 2023
Tiket Masuk Candi Prambanan,Septian Aditya Saputra,Mantap sesuai dengan fasilitas yang diberikan,"5,0
/5",13 Feb 2023
Tiket Masuk Candi Prambanan,Erni Efriliyani,"Worth it, dapet potongan harga juga","5,0
/5",10 Feb 2023
Tiket Masuk Candi Prambanan,Anita Rustandari,"Cepet bgt, better dtg stgh7 pas bru buka jdi ga ramai pengunjung lain","5,0
/5",9 Feb 2023
Tiket Masuk Candi Prambanan,RN,"Keren, luas, tempat bersejarah","5,0
/5",9 Feb 2023
Tiket Masuk Candi Prambanan,Nikmatul Akbar,bagusssssssssssssssss,"5,0
/5",8 Feb 2023
Tiket Masuk Candi Prambanan,VN,sangatt menyenangkann,"5,0
/5",7 Feb 2023
Tiket Masuk Candi Prambanan,LP,sangat bagus indah bgt pemandanganya,"5,0
/5",6 Feb 2023
Tiket Masuk Candi Prambanan,IP,Gampang bgt pakenya.. selamat berlibur,"5,0
/5",5 Feb 2023
Tiket Masuk Candi Prambanan,Nosiani Romdona,Keren banget 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,"5,0
/5",5 Feb 2023
Tiket Masuk Candi Prambanan,DS,"Seruu, asik. Tapi capek bgt jalan kaki keluarnya 😭","5,0
/5",5 Feb 2023
Tiket Masuk Candi Prambanan,Lani Regina,Bagus dan ok banget tempatnya,"5,0
/5",5 Feb 2023
Tiket Masuk Candi Prambanan,Teguh Mawlana,Mantappppppppppppppamtap mantap,"5,0
/5",5 Feb 2023
Tiket Masuk Candi Prambanan,Giovanni Giovanni,"Seru, banyak pengetahuan yang didapat","5,0
/5",3 Feb 2023
Tiket Masuk Candi Prambanan,Tania Mentari Desriyani,Tidak perlu antri dan dapet diskon👍,"5,0
/5",3 Feb 2023
Tiket Masuk Candi Prambanan,Nelisa Permata,Tiket nya murah dan gampang d beli,"5,0
/5",2 Feb 2023
Tiket Masuk Candi Prambanan,Astrie Rezky,Mudah dan murah dpt promo,"5,0
/5",2 Feb 2023
Tiket Masuk Candi Prambanan,Fery Firmansyah,mantap aman mudah nyaman luar biasa,"5,0
/5",1 Feb 2023
Tiket Masuk Candi Prambanan,FS,Bagus bisa beli tiket online.,"5,0
/5",1 Feb 2023
Tiket Masuk Candi Prambanan,Desta Karunia sari,Pokok nya bagus view nya dan tentu nya jogja itu panas,"5,0
/5",1 Feb 2023
Tiket Masuk Candi Prambanan,NR,Oke juga bagus kalo bisa kesana jangan hari senin,"5,0
/5",31 Jan 2023
Tiket Masuk Candi Prambanan,Nia Noviani,Keren abiss seruu pokonya,"5,0
/5",31 Jan 2023
Tiket Masuk Candi Prambanan,Fanny Pricillia,Keren dan Sangat Indah,"5,0
/5",31 Jan 2023
Tiket Masuk Candi Prambanan,RIRI INDRIANI,gak perlu antri! tinggal scan trus masuk deh!,"5,0
/5",31 Jan 2023
Tiket Masuk Candi Prambanan,DM,"Biaya masuk 50rb/dewasa, 25/anak. Ada tarif sendiri kalo mau mengunjungi tempat wisata lainnya disitu. Banyak spot foto menarik, yg berbayar juga ada, 20rb. Ada sewa sepeda juga untuk keliling. Pas ke...","5,0
/5",31 Jan 2023
